f1 	 f2         f3        f4      f5       f6    energy   stiffness
43.36176 19.25264 0.96349 0.73965 455.35457 0.98871 25.70411 20.74902
67.62596 13.34980 0.82356 0.83982 173.75378 1.83474 23.11939 15.30684
10.00915 18.73410 0.12909 0.26442 334.13938 1.62756 11.80745 12.98213
34.18661 14.62349 0.73845 0.38536 459.28202 1.64395 19.80671 17.76146
21.74047 10.85012 0.51850 0.36610 278.44689 1.20422 11.92949 12.04534
17.38709 12.28986 0.95279 0.93387 468.74732 0.81615 20.80371 19.49656
24.90082 14.06466 0.29929 0.76905 211.59636 0.56221 11.50222 12.58192
37.64486 13.24322 0.34036 0.64311 343.53247 0.98274 16.34676 13.14294
41.74140 18.89272 0.17333 0.44361 372.98148 0.55567 15.03771 12.80713
53.10534 18.78100 0.48576 0.86788 191.28229 1.54078 17.23009 13.56984
43.53556 10.92313 0.19812 0.54824 105.50701 1.50553 12.35036 8.01179
64.81756 19.44894 0.67041 0.93876 266.68958 1.14571 20.31941 17.35561
26.35618 7.60934 0.82267 0.76484 475.39276 1.65168 21.44237 19.81342
80.24939 6.89494 0.72712 0.58243 237.21124 1.30401 18.21808 15.06495
12.19101 7.02619 0.78959 0.30097 411.89772 0.55979 12.89076 13.04957
63.63740 12.58493 0.40821 0.98083 169.89453 0.70219 13.37483 13.43181
43.38438 5.32287 0.86127 0.32787 236.78113 0.79012 17.84103 10.91880
54.69519 19.21955 0.48589 0.36208 157.83909 1.00350 14.51873 10.34377
21.23096 17.40673 0.84161 0.54495 386.70833 0.57847 13.55551 15.28100
25.84812 5.22528 0.66385 0.52336 379.72305 1.40768 15.06756 14.70424
74.05957 7.64294 0.22908 0.31740 375.39893 1.26809 15.93860 12.08497
87.46093 9.98095 0.17055 0.78346 201.35841 1.42619 16.71297 12.32995
35.07393 6.96495 0.11650 0.35100 376.94405 1.14853 13.87545 11.65906
65.38581 17.14236 0.16005 0.71512 190.91902 1.77155 14.68271 13.07463
80.11113 10.17105 0.51273 0.80344 269.85965 1.18109 19.69404 14.13286
81.56853 19.10161 0.20201 0.36859 248.76885 0.52311 15.18602 11.70274
16.80354 13.73021 0.12501 0.68076 242.12316 1.80960 13.02024 13.80570
